Nom	,Date de Sortie,	Type,	État	,Durée,	Note Imdb,	Synopsis,0,PlaceHolder.png
Planète Terreur	,2007,	Film	,Fini	,105 minutes	,7	,Dans une petite ville rurale du Texas. un groupe de soldats arrive dans une base militaire voisine. dirigée par le lieutenant Muldoon. Ils font une transaction commerciale avec un ingénieur chimiste nommée Abby pour une grande quantité d'un agent biochimique mortel connu sous le nom de DC2 (nom de code Terror Project). Lorsque Muldoon apprend qu'Abby a un approvisionnement supplémentaire en main. il tente de le prendre en otage. mais Abby libère volontairement le gaz dans l'air. 	,21	,Image21.jpg
My Best Friend's Birthday	,1987,	Film	,Fini	,36 minutes	,5.5	,Mickey Burnett (Craig Hamann) se fait larguer par sa petite amie le jour de son anniversaire. Son meilleur ami. Clarence Pool (Quentin Tarantino). décide alors de se mettre en quatre pour lui faire passer la meilleure journée de sa vie.,22,Image22.jpg
Une Nuit en Enfer 2 : Le Prix du Sang	,1999,	Film	,Fini	,90 minutes	,4.2	,Une ancienne bande de braqueurs se reforme après plusieurs années pour braquer la banque de la frontière Sud des États-Unis. Mais ils rencontrent des vampires assoiffés de sang. qui vont contrarier leur plan…,23,Image23.jpeg
Desperado	,1995,	Film	,Fini	,107 minutes	,7.1	,Au nord du Mexique. le guitariste et chanteur sans nom El Mariachi vit paisiblement. jusqu'au jour où sa bien-aimée est assassinée par Bucho. un trafiquant de drogue. Bien décidé à se venger. il part avec un étui à guitare rempli d'armes à feu pour retrouver ce dernier. quitte à laisser derrière lui les cadavres de ceux qui tentent de lui barrer la route...,24,Image24.jpg
Destiny Turns on the Radio	,1995,	Film	,Fini	,102 minutes	,4.6	,Julian Goddard. emprisonné pour braquage de banque. parvient à s'échapper. Il est secouru dans le désert par Johnny Destiny. personnage étrange qui l'emmène à Las Vegas. dans un hôtel appartenant à Harry Thoreau. ancien partenaire de Julian. Celui-ci cherche à reconquérir Lucille. son ex-petite amie. et à retrouver l'argent du braquage. Mais Lucille est désormais la maîtresse de Tuerto. un baron du crime. et Julian va rapidement être recherché par la police et les hommes de Tuerto. tandis que Destiny semble jouer avec les événements. 	,25,Image25.jpg
Little Nicky	,2000,	Film	,Fini	,90 minutes	,5.3	,Nicky est le seul fils gentil de Satan. Après la fuite de l'enfer de ses frères Cassius et Hadrien. Nicky doit partir à leur recherche. sur Terre. Dans son aventure. il découvre le bien. le mal et l'amour. ,26,Image26.jpg
Sukiyaki Western Django	,2007,Film,	Fini	,121 minutes	,6.1	,Deux clans s'affrontent. les Genjis. le clan blanc dirigé par Yoshitsune et les Heike. le clan rouge de Kiyomori. pour la possession d'un trésor caché dans un village de montagne isolé. Un jour. un tueur solitaire et habile débarque dans la ville,27,Image27.jpg
Double Dare	,2004	,Film	,Fini	,81 minutes,	7.4	,"Zoe Bell. qui a fait ses débuts de cascadeuse dans la série Hercule. est devenue la doublure attitrée de Lucy Lawless. la sculpturale héroïne de Xena. la guerrière.Lorsque la série s'arrête. la jeune néo-zélandaise décide de partir tenter sa chance aux États-Unis. Dès son arrivée à Los Angeles. elle est prise en mains par la doyenne des cascadeuses professionnelles à Hollywood : Jeannie Epper. une légende du métier. ",28,Image28.jpg
Iron Monkey	,1993,Film,	Fini	,90 minutes	,7.5	,Au XIXe siècle. dans une région de Sud de la Chine dirigée par un gouverneur injuste et corrompu. la population est désespérée. Elle peut cependant compter sur un homme qui a le courage d'affronter le système. On l'appelle Iron Monkey. Celui-ci profite de l'obscurité de la nuit pour voler les riches et redistribuer aux pauvres ce qui leur est dû. C'est dans ce contexte qu'un médecin de Canton. Wong Kei-Ying. arrive avec son fils. Wong Fei-hung. À la suite d'une bagarre. ils sont arrêtés et présentés devant le Gouverneur avec d'autres citoyens. Celui-ci les accuse tous d'être potentiellement le Iron Monkey et les menace d'exécution s'ils ne se dénoncent pas. Étant incapable de mettre la main sur le rebelle. le gouvernement finit par mettre en prison le fils de Wong Kei-Ying. par ailleurs maître en arts martiaux. pour l'obliger à traquer l'indésirable. En chemin. il trouvera de l'aide auprès du Docteur Yang et de son assistante Orchid qui font preuve d'une rare bienveillance envers la population. Mais Wong Kei-Ying n'est pas au bout de ses peines pour libérer son fils et devra peut-être compter sur l'aide de celui qu'il traque : le Iron Monkey.,29,Image29.jpg
Somebody to Love,	1994,Film,Fini	,102 minutes	,5.5,	Mercedes rêve de devenir comédienne. En attendant. elle est taxigirl dans un nightclub. C'est là que Ernesto tombe fou amoureux d'elle. Une étrange relation les unit. et quand la jeune femme se confie à lui. elle ne se doute pas que par amour. il est capable de tout pour l'aider... 	,30,Image30.jpg
